Jurisdiction,Jurisdiction0,Stakeholders,Markups
US,United States,Processors,1.2886
US,United States,Wholesalers,0.627
US,United States,Grocers,0.334
US,United States,Restaurants,1.824
AL,Alabama,Processors,1.2886
AL,Alabama,Wholesalers,0.627
AL,Alabama,Grocers,0.334
AL,Alabama,Restaurants,1.824
AK,Alaska,Processors,1.2886
AK,Alaska,Wholesalers,0.627
AK,Alaska,Grocers,0.334
AK,Alaska,Restaurants,1.824
CA,California,Processors,1.2886
CA,California,Wholesalers,0.627
CA,California,Grocers,0.334
CA,California,Restaurants,1.824
CT,Connecticut,Processors,1.2886
CT,Connecticut,Wholesalers,0.627
CT,Connecticut,Grocers,0.334
CT,Connecticut,Restaurants,1.824
DE,Delaware,Processors,1.2886
DE,Delaware,Wholesalers,0.627
DE,Delaware,Grocers,0.334
DE,Delaware,Restaurants,1.824
FL,Florida,Processors,1.2886
FL,Florida,Wholesalers,0.627
FL,Florida,Grocers,0.334
FL,Florida,Restaurants,1.824
GA,Georgia,Processors,1.2886
GA,Georgia,Wholesalers,0.627
GA,Georgia,Grocers,0.334
GA,Georgia,Restaurants,1.824
HI,Hawaii,Processors,1.2886
HI,Hawaii,Wholesalers,0.627
HI,Hawaii,Grocers,0.334
HI,Hawaii,Restaurants,1.824
LA,Louisiana,Processors,1.2886
LA,Louisiana,Wholesalers,0.627
LA,Louisiana,Grocers,0.334
LA,Louisiana,Restaurants,1.824
ME,Maine,Processors,1.2886
ME,Maine,Wholesalers,0.627
ME,Maine,Grocers,0.334
ME,Maine,Restaurants,1.824
MD,Maryland,Processors,1.2886
MD,Maryland,Wholesalers,0.627
MD,Maryland,Grocers,0.334
MD,Maryland,Restaurants,1.824
MA,Massachusetts,Processors,1.2886
MA,Massachusetts,Wholesalers,0.627
MA,Massachusetts,Grocers,0.334
MA,Massachusetts,Restaurants,1.824
MS,Mississippi,Processors,1.2886
MS,Mississippi,Wholesalers,0.627
MS,Mississippi,Grocers,0.334
MS,Mississippi,Restaurants,1.824
NH,New Hampshire,Processors,1.2886
NH,New Hampshire,Wholesalers,0.627
NH,New Hampshire,Grocers,0.334
NH,New Hampshire,Restaurants,1.824
NJ,New Jersey,Processors,1.2886
NJ,New Jersey,Wholesalers,0.627
NJ,New Jersey,Grocers,0.334
NJ,New Jersey,Restaurants,1.824
NY,New York,Processors,1.2886
NY,New York,Wholesalers,0.627
NY,New York,Grocers,0.334
NY,New York,Restaurants,1.824
NC,North Carolina,Processors,1.2886
NC,North Carolina,Wholesalers,0.627
NC,North Carolina,Grocers,0.334
NC,North Carolina,Restaurants,1.824
OR,Oregon,Processors,1.2886
OR,Oregon,Wholesalers,0.627
OR,Oregon,Grocers,0.334
OR,Oregon,Restaurants,1.824
RI,Rhode Island,Processors,1.2886
RI,Rhode Island,Wholesalers,0.627
RI,Rhode Island,Grocers,0.334
RI,Rhode Island,Restaurants,1.824
SC,South Carolina,Processors,1.2886
SC,South Carolina,Wholesalers,0.627
SC,South Carolina,Grocers,0.334
SC,South Carolina,Restaurants,1.824
TX,Texas,Processors,1.2886
TX,Texas,Wholesalers,0.627
TX,Texas,Grocers,0.334
TX,Texas,Restaurants,1.824
VA,Virginia,Processors,1.2886
VA,Virginia,Wholesalers,0.627
VA,Virginia,Grocers,0.334
VA,Virginia,Restaurants,1.824
WA,Washington,Processors,1.2886
WA,Washington,Wholesalers,0.627
WA,Washington,Grocers,0.334
WA,Washington,Restaurants,1.824
NE,Northeast,Processors,0.627
NE,Northeast,Wholesalers,1.289
NE,Northeast,Grocers,1.289
NE,Northeast,Restaurants,1.289
