,Imports,Whole.Prop,Proc.Prop,Groc.Prop,Rest.Prop,Exports from US
 AK ,11095468.00,0.55,0.20,0.18,0.03,0.05
 AL ,1751665.00,0.05,0.90,0.03,0.03,0.05
 CA ,4231586307.00,0.55,0.10,0.20,0.05,0.10
 CT ,,0.55,0.05,0.20,0.05,0.15
 DE ,,0.55,0.05,0.20,0.05,0.15
 FL ,2957798368.00,0.55,0.05,0.20,0.05,0.15
 GA ,622585245.00,0.55,0.05,0.20,0.05,0.15
 HI ,57923388.00,0.55,0.05,0.20,0.05,0.15
 LA ,16854183.00,0.55,0.05,0.20,0.05,0.15
MA,722554931.00,0.50,0.25,0.10,0.05,0.10
MD,339846196.00,0.55,0.15,0.10,0.10,0.10
ME,2274873152.00,0.55,0.15,0.10,0.10,0.10
MS,,0.55,0.15,0.10,0.10,0.10
NC,17960987.00,0.55,0.15,0.10,0.10,0.10
NH,,0.55,0.15,0.10,0.10,0.10
NJ,,0.55,0.15,0.10,0.10,0.10
NY,4061826527.00,0.55,0.15,0.10,0.10,0.10
OR,14922832.00,0.55,0.15,0.10,0.10,0.10
RI,,0.55,0.15,0.10,0.10,0.10
SC,60443873.00,0.55,0.15,0.10,0.10,0.10
TX,691587539.00,0.55,0.15,0.10,0.10,0.10
VA,600271410.00,0.55,0.15,0.10,0.10,0.10
WA,1122890400.00,0.55,0.15,0.10,0.10,0.10
US,11446950523.00,0.55,0.20,0.18,0.03,0.05
